"Date","Open","High","Low","Close","Volume","Market Cap"
"22-08-2017",77.99,95.51,72.53,91.16,150286000,1363172590
"21-08-2017",54.67,95.08,52.87,77.82,238775008,1163691213
"20-08-2017",55.79,56.05,51.8,54.71,15702600,818112905
"19-08-2017",46.97,58.03,46.97,55.96,27038800,836804938
"18-08-2017",47.37,48.93,46.22,46.69,14517200,698184820
"17-08-2017",48.82,49.46,47.05,47.45,11176000,709345327
"16-08-2017",48.77,49.09,47.03,48.78,12423400,728995652
"15-08-2017",49.97,50.16,45.72,48.74,13651100,728154470
"14-08-2017",47.69,49.75,46.63,49.75,14023000,743015333
"13-08-2017",49.38,50.15,45.46,47.76,19587800,713056064
"12-08-2017",50.85,51.57,46.34,49.37,17349200,736852634
"11-08-2017",49.31,51.56,48.93,50.65,8534390,755728866
"10-08-2017",50.94,51.29,49.47,49.47,9147740,737877892
"09-08-2017",51.94,53.34,49.74,50.96,11466600,759847436
"08-08-2017",50.4,52.64,49.93,51.94,12471600,774207687
"07-08-2017",47.67,50.21,47.24,50.21,12794900,748168431
"06-08-2017",48.57,49.18,47.36,47.83,8254240,712453098
"05-08-2017",45.18,49.49,45.18,48.58,12131400,723408507
"04-08-2017",43.36,45.32,42.97,45.12,7794340,671659793
"03-08-2017",43.8,44.31,43.23,43.36,8262040,645246680
"02-08-2017",44.08,44.78,42.78,43.63,8111580,649043141
"01-08-2017",39.88,45.04,39.81,44.15,17363300,656570600
"31-07-2017",39.67,40.68,38.94,39.84,13138500,592282836
"30-07-2017",43.95,43.95,39.55,39.62,11709500,588811871
"29-07-2017",43.69,44.37,42.19,43.89,7053810,652058402
"28-07-2017",45.29,45.79,42.74,43.96,18694500,652878499
"27-07-2017",45.92,46.74,43.93,45.24,15960700,671674582
"26-07-2017",40.73,46.44,38.6,45.8,26033100,679765260
"25-07-2017",45.55,45.84,38.24,40.68,12706300,603557137
"24-07-2017",42.66,45.76,41.86,45.58,12102100,676020929
"23-07-2017",44.64,44.78,41.44,42.67,8634060,632655722
"22-07-2017",40.25,44.76,40.15,44.71,9028920,662673039
"21-07-2017",40.55,41.43,39.53,40.34,9572580,597655184
"20-07-2017",34.89,41.01,34.89,40.3,14905700,596889792
"19-07-2017",36.47,37.59,34.37,35.06,6994230,519092516
"18-07-2017",34.89,37.92,33.38,36.38,9949120,538469972
